A1,A2,A3,label
0.60107,0.58563,1.047,5
0.6011,0.5854600000000001,1.047,5
0.60117,0.58526,1.047,5
0.6013,0.58508,1.0471,5
0.6015199999999999,0.585,1.0473,5
0.6018399999999999,0.58506,1.0477,5
0.60225,0.5853,1.0482,5
0.60275,0.5857100000000001,1.0490000000000002,5
0.60331,0.58629,1.0498,5
0.60388,0.5869800000000001,1.0508,5
0.60443,0.58773,1.0517,5
0.60492,0.5884699999999999,1.0526,5
0.60533,0.58914,1.0534,5
0.60564,0.58968,1.054,5
0.60585,0.59004,1.0545,5
0.60596,0.59021,1.0548,5
0.6059899999999999,0.5902,1.055,5
0.606,0.5903,1.055,5
0.60835,0.59405,1.055,5
0.61839,0.60217,1.055,5
0.63963,0.61145,1.0548,5
0.67003,0.61861,1.0536,5
0.7033,0.6219600000000001,1.0511,5
0.73268,0.62115,1.0477,5
0.754,0.6169100000000001,1.0444,5
0.76648,0.61078,1.0424,5
0.7715,0.60477,1.0423,5
0.77099,0.60096,1.0438,5
0.76672,0.60144,1.0462,5
0.76044,0.60814,1.0486,5
0.7544,0.62262,1.0506,5
0.75145,0.64545,1.0521,5
0.75471,0.67578,1.0535,5
0.76651,0.71137,1.0547,5
0.7875300000000001,0.7492,1.0556,5
0.76547,0.76925,0.97372,2
0.7420399999999999,0.73798,0.97349,2
0.71505,0.7116399999999999,0.97426,2
0.68616,0.69294,0.97611,2
0.6575,0.6834600000000001,0.97887,2
0.63146,0.6832,0.98213,2
0.61029,0.69043,0.98535,2
0.59568,0.70213,0.9880700000000001,2
0.58824,0.71462,0.98995,2
0.58735,0.72435,0.9908600000000001,2
0.59133,0.72842,0.9908799999999999,2
0.5978899999999999,0.7248600000000001,0.99016,2
0.60459,0.71273,0.98888,2
0.60915,0.69209,0.98721,2
0.60973,0.66399,0.9853299999999999,2
0.6049399999999999,0.63039,0.98345,2
0.5939399999999999,0.59415,0.9819,2
0.57644,0.55887,0.98106,2
0.55974,0.53497,0.98131,2
0.5504,0.52609,0.9827899999999999,2
0.54588,0.52488,0.9848299999999999,2
0.5424399999999999,0.52742,0.9862799999999999,2
0.53868,0.5324,0.9868299999999999,2
0.5354300000000001,0.5394399999999999,0.98698,2
0.5344899999999999,0.54789,0.9873,2
0.5371199999999999,0.55648,0.98808,2
0.54302,0.56383,0.9891,2
0.55076,0.5689,0.98977,2
0.55875,0.57122,0.9897100000000001,2
