U5 amp,U5 ang,U8 amp,U8 ang,P5,Q5,P8,Q8,KS an,Time(0-10s),
0.963763986,21.86756572,0.990853354,27.18698234,0.332816007,0.183593932,-0.767640817,-0.111025044,Line6,,
0.96375693,21.88711259,0.990844752,27.20673771,0.332791957,0.183612356,-0.767638686,-0.111007233,Line6,,
0.963749962,21.90582813,0.99083623,27.22564789,0.332769149,0.183630489,-0.767636934,-0.110989356,Line6,,
0.963743095,21.92371949,0.990827805,27.24371949,0.332747651,0.183648287,-0.767635533,-0.110971455,Line6,,
0.963736341,21.9407939,0.99081949,27.26095946,0.332727512,0.183665714,-0.767634456,-0.110953569,Line6,,
0.963729711,21.95705871,0.990811299,27.27737498,0.332708763,0.183682738,-0.767633672,-0.110935736,Line6,,
0.963723212,21.97252134,0.990803241,27.29297352,0.332691417,0.183699337,-0.767633153,-0.11091799,Line6,,
0.96371685,21.98718929,0.990795327,27.3077628,0.332675467,0.18371549,-0.767632871,-0.110900366,Line6,,
0.96371063,22.0010701,0.990787562,27.32175076,0.332660891,0.183731187,-0.767632797,-0.110882891,Line6,,
0.963704555,22.01417138,0.990779951,27.33494554,0.332647646,0.183746422,-0.767632905,-0.110865593,Line6,,
0.963698625,22.02650079,0.990772497,27.3473555,0.332635679,0.183761195,-0.76763317,-0.110848496,Line6,,
0.963692839,22.03806601,0.9907652,27.35898913,0.332624918,0.183775512,-0.767633566,-0.110831619,Line6,,
0.963687194,22.04887478,0.990758059,27.36985511,0.33261528,0.183789384,-0.76763407,-0.110814979,Line6,,
0.963681687,22.05893485,0.99075107,27.37996224,0.332606671,0.18380283,-0.767634663,-0.110798587,Line6,,
0.96367631,22.06825401,0.99074423,27.38931944,0.332598986,0.18381587,-0.767635323,-0.110782455,Line6,,
0.963671057,22.07684006,0.99073753,27.39793572,0.332592111,0.183828531,-0.767636034,-0.110766586,Line6,,
0.963665919,22.08470085,0.990730964,27.40582018,0.332585926,0.183840842,-0.767636781,-0.110750984,Line6,,
0.963660887,22.09184424,0.990724523,27.41298197,0.332580306,0.183852836,-0.767637549,-0.110735648,Line6,,
0.963655951,22.09827813,0.990718195,27.4194303,0.332575123,0.183864551,-0.767638329,-0.110720572,Line6,,
0.963651099,22.10401045,0.990711969,27.42517441,0.332570248,0.183876023,-0.76763911,-0.11070575,Line6,,
0.963646319,22.10904914,0.990705834,27.43022356,0.33256555,0.183887293,-0.767639887,-0.110691171,Line6,,
0.963641599,22.11340222,0.990699777,27.43458702,0.332560902,0.183898402,-0.767640653,-0.110676824,Line6,,
0.963636928,22.11707771,0.990693783,27.43827403,0.332556179,0.183909392,-0.767641408,-0.110662692,Line6,,
0.963632291,22.1200837,0.990687842,27.44129386,0.332551263,0.183920303,-0.76764215,-0.110648761,Line6,,
0.963627678,22.12242832,0.990681937,27.44365571,0.33254604,0.183931177,-0.76764288,-0.11063501,Line6,,
0.963623076,22.12411975,0.990676058,27.4453688,0.332540403,0.183942053,-0.767643602,-0.11062142,Line6,,
0.963618474,22.12516623,0.99067019,27.44644227,0.332534256,0.183952969,-0.767644319,-0.11060797,Line6,,
0.963613859,22.12557607,0.990664321,27.44688525,0.332527511,0.183963963,-0.767645039,-0.11059464,Line6,,
0.963609223,22.12535765,0.990658439,27.44670681,0.332520091,0.183975066,-0.767645767,-0.110581406,Line6,,
0.963604554,22.12451939,0.990652533,27.44591598,0.332511931,0.18398631,-0.767646514,-0.110568247,Line6,,
0.963599845,22.12306983,0.990646594,27.44452175,0.332502974,0.183997723,-0.767647288,-0.110555141,Line6,,
0.963595088,22.12101754,0.990640611,27.44253307,0.332493179,0.184009328,-0.767648099,-0.110542068,Line6,,
0.963590276,22.11837121,0.990634577,27.43995883,0.332482516,0.184021147,-0.767648958,-0.110529006,Line6,,
0.963585404,22.11513958,0.990628485,27.4368079,0.332470967,0.184033196,-0.767649876,-0.110515936,Line6,,
0.963580467,22.11133149,0.990622328,27.43308909,0.332458525,0.184045487,-0.767650865,-0.110502841,Line6,,
0.963575461,22.10695586,0.990616104,27.42881119,0.332445197,0.18405803,-0.767651935,-0.110489704,Line6,,
0.963570386,22.10202168,0.990609808,27.42398297,0.332430999,0.184070828,-0.767653099,-0.110476509,Line6,,
0.96356524,22.09653805,0.990603438,27.41861317,0.332415961,0.184083884,-0.767654365,-0.110463245,Line6,,
