Time;Voltage
6,82;1,040760164
6,83;1,04077775
6,84;1,040794586
6,85;1,040810747
6,86;1,040826311
6,87;1,040841363
6,88;1,040855991
6,89;1,040870279
6,9;1,040884309
6,91;1,040898157
6,92;1,040911889
6,93;1,040925562
6,94;1,040939222
6,95;1,040952901
6,96;1,040966621
6,97;1,040980391
6,98;1,040994207
6,99;1,041008056
7;1,041021917
7,01;1,04103576
7,02;1,041049551
7,03;1,041063252
7,04;1,041076824
7,05;1,041090229
7,06;1,041103431
7,07;1,0411164
7,08;1,041129109
7,09;1,041141538
7,1;1,041153677
7,11;1,04116552
7,12;1,04117707
7,13;1,041188338
7,14;1,04119934
7,15;1,041210099
7,16;1,041220641
7,17;1,041230995
7,18;1,041241193
7,19;1,041251265
7,2;1,04126124
7,21;1,041271142
7,22;1,041280992
7,23;1,041290806
7,24;1,041300589
7,25;1,041310343
7,26;1,041320059
7,27;1,041329722
7,28;1,041339307
7,29;1,041348784
7,3;1,041358118
7,31;1,041367268
7,32;1,041376188
7,33;1,041384834
7,34;1,041393159
7,35;1,04140112
7,36;1,041408675
7,37;1,041415788
7,38;1,041422429
7,39;1,041428575
7,4;1,041434212
7,41;1,041439333
7,42;1,041443941
7,43;1,041448049
7,44;1,041451676
7,45;1,04145485
7,46;1,041457609
7,47;1,041459992
7,48;1,041462047
7,49;1,041463823
7,5;1,041465372
7,51;1,041466747
7,52;1,041467997
7,53;1,041469171
7,54;1,041470313
7,55;1,041471462
7,56;1,041472651
7,57;1,041473905
7,58;1,041475244
7,59;1,041476677
7,6;1,04147821
7,61;1,041479837
7,62;1,041481548
7,63;1,041483326
7,64;1,04148515
7,65;1,041486993
7,66;1,041488827
7,67;1,041490621
7,68;1,041492344
7,69;1,041493964
7,7;1,041495452
7,71;1,041496782
7,72;1,041497929
7,73;1,041498873
7,74;1,041499599
7,75;1,041500096
7,76;1,041500358
7,77;1,041500381
7,78;1,04150017
7,79;1,04149973
7,8;1,04149907
7,81;1,041498202
7,82;1,04149714
7,83;1,041495898
7,84;1,041494492
7,85;1,041492936
7,86;1,041491243
7,87;1,041489425
7,88;1,041487491
7,89;1,041485449
7,9;1,041483302
7,91;1,04148105
7,92;1,041478693
7,93;1,041476226
7,94;1,041473642
7,95;1,041470932
7,96;1,041468088
7,97;1,041465099
7,98;1,041461954
7,99;1,041458643
8;1,041455159
8,01;1,041451493
8,02;1,041447642
8,03;1,041443604
8,04;1,041439379
8,05;1,041434972
8,06;1,041430391
8,07;1,041425645
8,08;1,041420749
8,09;1,041415718
8,1;1,04141057
8,11;1,041405327
8,12;1,041400008
8,13;1,041394635
8,14;1,041389231
8,15;1,041383814
8,16;1,041378405
8,17;1,041373021
8,18;1,041367675
8,19;1,041362381
8,2;1,041357146
8,21;1,041351975
8,22;1,041346868
8,23;1,041341824
8,24;1,041336837
8,25;1,041331896
8,26;1,04132699
8,27;1,041322104
8,28;1,041317221
8,29;1,041312323
8,3;1,041307391
8,31;1,041302407
8,32;1,041297351
8,33;1,041292205
8,34;1,041286954
8,35;1,041281583
8,36;1,04127608
8,37;1,041270436
8,38;1,041264645
8,39;1,041258702
8,4;1,041252608
8,41;1,041246364
8,42;1,041239976
8,43;1,04123345
8,44;1,041226796
8,45;1,041220025
8,46;1,041213149
8,47;1,041206181
8,48;1,041199134
8,49;1,041192021
8,5;1,041184856
8,51;1,041177649
8,52;1,041170411
8,53;1,041163152
8,54;1,04115588
8,55;1,0411486
8,56;1,041141316
8,57;1,041134032
8,58;1,041126748
8,59;1,041119463
8,6;1,041112177
8,61;1,041104887
8,62;1,041097589
8,63;1,041090281
8,64;1,041082959
8,65;1,041075619
8,66;1,04106826
8,67;1,041060879
8,68;1,041053474
8,69;1,041046046
8,7;1,041038595
8,71;1,041031124
8,72;1,041023636
8,73;1,041016135
8,74;1,041008624
8,75;1,041001111
8,76;1,040993601
8,77;1,040986099
8,78;1,040978613
8,79;1,040971146
8,8;1,040963705
8,81;1,040956294
8,82;1,040948916
8,83;1,040941574
8,84;1,040934267
8,85;1,040926995
8,86;1,040919757
8,87;1,040912548
8,88;1,040905366
8,89;1,040898203
8,9;1,040891053
8,91;1,040883909
8,92;1,040876764
8,93;1,040869608
